Date,Price
,ELV
2020-04-22,247.02088928222656
2020-04-23,245.69635009765625
2020-04-24,248.11062622070312
2020-04-27,253.69056701660156
2020-04-28,251.96212768554688
2020-04-29,263.60101318359375
2020-04-30,263.7138366699219
2020-05-01,253.23031616210938
2020-05-04,254.57357788085938
2020-05-05,258.3968811035156
2020-05-06,254.2166748046875
2020-05-07,249.62306213378906
2020-05-08,257.7017517089844
2020-05-11,255.8605194091797
2020-05-12,256.414794921875
2020-05-13,251.56756591796875
2020-05-14,256.7154235839844
2020-05-15,261.23382568359375
2020-05-18,262.9905090332031
2020-05-19,264.0614318847656
2020-05-20,263.028076171875
2020-05-21,261.78814697265625
2020-05-22,260.3132629394531
2020-05-26,266.2408142089844
2020-05-27,269.8385925292969
2020-05-28,273.7088928222656
2020-05-29,276.28277587890625
2020-06-01,272.4501953125
2020-06-02,276.36737060546875
2020-06-03,271.7361755371094
2020-06-04,264.99139404296875
2020-06-05,270.4398498535156
2020-06-08,282.37005615234375
2020-06-09,274.2373962402344
2020-06-10,271.9097595214844
2020-06-11,249.2930450439453
2020-06-12,250.42388916015625
2020-06-15,247.2104034423828
2020-06-16,252.01646423339844
2020-06-17,250.4050750732422
2020-06-18,250.22605895996094
2020-06-19,251.0740966796875
2020-06-22,249.92440795898438
2020-06-23,253.48660278320312
2020-06-24,242.479736328125
2020-06-25,245.95706176757812
2020-06-26,240.9154052734375
2020-06-29,244.3267822265625
2020-06-30,247.822998046875
2020-07-01,253.19444274902344
2020-07-02,251.6112518310547
2020-07-06,253.4960479736328
2020-07-07,249.6229248046875
2020-07-08,247.40830993652344
2020-07-09,240.30287170410156
2020-07-10,240.30287170410156
2020-07-13,242.73419189453125
2020-07-14,248.28472900390625
2020-07-15,251.8751220703125
2020-07-16,248.86898803710938
2020-07-17,251.0175323486328
2020-07-20,244.07232666015625
2020-07-21,250.39561462402344
2020-07-22,252.63839721679688
2020-07-23,254.37237548828125
2020-07-24,254.90011596679688
2020-07-27,248.7747344970703
2020-07-28,249.9432830810547
2020-07-29,265.33209228515625
2020-07-30,261.2138671875
2020-07-31,258.0193176269531
2020-08-03,255.14511108398438
2020-08-04,255.277099609375
2020-08-05,259.7626647949219
2020-08-06,255.8330078125
2020-08-07,260.71453857421875
2020-08-10,262.77825927734375
2020-08-11,264.1729736328125
2020-08-12,266.85870361328125
2020-08-13,266.05767822265625
2020-08-14,266.9059143066406
2020-08-17,266.7926940917969
2020-08-18,266.17083740234375
2020-08-19,267.0660095214844
2020-08-20,265.5110778808594
2020-08-21,268.2251892089844
2020-08-24,263.0704650878906
2020-08-25,260.535400390625
2020-08-26,254.63621520996094
2020-08-27,258.7638244628906
2020-08-28,261.2987365722656
2020-08-31,265.2944030761719
2020-09-01,257.3408203125
2020-09-02,263.8337707519531
2020-09-03,261.03485107421875
2020-09-04,260.29986572265625
2020-09-08,251.80917358398438
2020-09-09,252.9062042236328
2020-09-10,246.68331909179688
2020-09-11,244.02584838867188
2020-09-14,251.1849365234375
2020-09-15,246.03073120117188
2020-09-16,249.3124542236328
2020-09-17,248.72608947753906
2020-09-18,249.85153198242188
2020-09-21,243.72314453125
2020-09-22,234.0105743408203
2020-09-23,232.3933868408203
2020-09-24,235.2778778076172
2020-09-25,241.39669799804688
2020-09-28,243.1084442138672
2020-09-29,245.6903533935547
2020-09-30,254.0126953125
2020-10-01,255.50698852539062
2020-10-02,260.0842590332031
2020-10-05,269.33355712890625
2020-10-06,268.245849609375
2020-10-07,277.21136474609375
2020-10-08,277.3721618652344
2020-10-09,278.431396484375
2020-10-12,282.3656005859375
2020-10-13,281.2969665527344
2020-10-14,276.47369384765625
2020-10-15,278.8947448730469
2020-10-16,280.75787353515625
2020-10-19,276.3507385253906
2020-10-20,275.3860778808594
2020-10-21,280.0863952636719
2020-10-22,288.6073913574219
2020-10-23,293.8940124511719
2020-10-26,283.4815673828125
2020-10-27,282.65869140625
2020-10-28,270.2886657714844
2020-10-29,258.4292907714844
2020-10-30,257.9942626953125
2020-11-02,263.14837646484375
2020-11-03,277.53289794921875
2020-11-04,310.0659484863281
2020-11-05,302.2542724609375
2020-11-06,296.3150939941406
2020-11-09,304.91168212890625
2020-11-10,310.7279052734375
2020-11-11,305.819580078125
2020-11-12,312.0140380859375
2020-11-13,314.8890686035156
2020-11-16,315.0687561035156
2020-11-17,311.9384460449219
2020-11-18,304.8832702636719
2020-11-19,294.9248352050781
2020-11-20,289.0329895019531
2020-11-23,293.7994079589844
2020-11-24,296.9013977050781
2020-11-25,292.2768249511719
2020-11-27,295.8232727050781
2020-11-30,294.61273193359375
2020-12-01,296.86358642578125
2020-12-02,301.1666564941406
2020-12-03,305.4980773925781
2020-12-04,306.62677001953125
2020-12-07,302.8042907714844
2020-12-08,306.0766296386719
2020-12-09,302.0454406738281
2020-12-10,297.5968933105469
2020-12-11,295.3678894042969
2020-12-14,294.13482666015625
2020-12-15,297.09423828125
2020-12-16,294.26763916015625
2020-12-17,297.909912109375
2020-12-18,292.7500305175781
2020-12-21,290.6063537597656
2020-12-22,287.68487548828125
2020-12-23,292.47491455078125
2020-12-24,292.7784729003906
2020-12-28,296.7812194824219
2020-12-29,298.1470642089844
2020-12-30,297.8814392089844
2020-12-31,304.5589904785156
2021-01-04,302.1781921386719
2021-01-05,298.8774108886719
2021-01-06,311.416748046875
2021-01-07,320.01031494140625
2021-01-08,319.725830078125
2021-01-11,321.3287048339844
2021-01-12,317.5441589355469
2021-01-13,313.41815185546875
2021-01-14,305.9154052734375
2021-01-15,309.6146240234375
