Date,Price
,LLY
2020-04-22,147.38572692871094
2020-04-23,150.41409301757812
2020-04-24,153.2356414794922
2020-04-27,151.6931915283203
2020-04-28,147.9405517578125
2020-04-29,145.9279327392578
2020-04-30,145.43885803222656
2020-05-01,144.48902893066406
2020-05-04,144.15980529785156
2020-05-05,148.49549865722656
2020-05-06,147.3574676513672
2020-05-07,143.8682403564453
2020-05-08,144.37608337402344
2020-05-11,149.11622619628906
2020-05-12,148.33563232421875
2020-05-13,148.53311157226562
2020-05-14,149.6575927734375
2020-05-15,150.46075439453125
2020-05-18,149.26072692871094
2020-05-19,148.0701141357422
2020-05-20,144.69671630859375
2020-05-21,143.89353942871094
2020-05-22,142.83523559570312
2020-05-26,139.81141662597656
2020-05-27,137.67591857910156
2020-05-28,142.3533172607422
2020-05-29,144.52662658691406
2020-06-01,144.05416870117188
2020-06-02,145.38650512695312
2020-06-03,144.1297607421875
2020-06-04,142.41001892089844
2020-06-05,140.99264526367188
2020-06-08,140.99264526367188
2020-06-09,140.91700744628906
2020-06-10,142.6840057373047
2020-06-11,136.14511108398438
2020-06-12,135.63485717773438
2020-06-15,133.7261199951172
2020-06-16,154.69406127929688
2020-06-17,151.16001892089844
2020-06-18,152.19943237304688
2020-06-19,151.1316680908203
2020-06-22,151.6135711669922
2020-06-23,150.56472778320312
2020-06-24,148.3819122314453
2020-06-25,153.89085388183594
2020-06-26,153.86253356933594
2020-06-29,153.75856018066406
2020-06-30,155.13815307617188
2020-07-01,154.30662536621094
2020-07-02,154.84523010253906
2020-07-06,157.6989288330078
2020-07-07,157.5666046142578
2020-07-08,159.8155517578125
2020-07-09,157.28314208984375
2020-07-10,154.36329650878906
2020-07-13,153.15383911132812
2020-07-14,154.8546905517578
2020-07-15,156.3382110595703
2020-07-16,155.91299438476562
2020-07-17,156.8201446533203
2020-07-20,157.8406524658203
2020-07-21,156.1964569091797
2020-07-22,155.76182556152344
2020-07-23,152.62469482421875
2020-07-24,150.75372314453125
2020-07-27,151.66082763671875
2020-07-28,153.6924285888672
2020-07-29,152.84201049804688
2020-07-30,144.57386779785156
2020-07-31,142.01312255859375
2020-08-03,144.42266845703125
2020-08-04,146.322021484375
2020-08-05,145.8400421142578
2020-08-06,144.4605255126953
2020-08-07,144.50772094726562
2020-08-10,144.57386779785156
2020-08-11,142.33441162109375
2020-08-12,144.14866638183594
2020-08-13,142.86680603027344
2020-08-14,142.51541137695312
2020-08-17,143.88278198242188
2020-08-18,145.38302612304688
2020-08-19,144.60443115234375
2020-08-20,143.70236206054688
2020-08-21,141.72732543945312
2020-08-24,141.97421264648438
2020-08-25,142.12611389160156
2020-08-26,141.72732543945312
2020-08-27,141.45196533203125
2020-08-28,139.9042510986328
2020-08-31,140.9012451171875
2020-09-01,139.86627197265625
2020-09-02,142.0027313232422
2020-09-03,141.4994659423828
2020-09-04,143.2940673828125
2020-09-08,141.77481079101562
2020-09-09,144.30055236816406
2020-09-10,138.8407745361328
2020-09-11,140.61636352539062
2020-09-14,141.48046875
2020-09-15,142.5059356689453
2020-09-16,143.341552734375
2020-09-17,144.77536010742188
2020-09-18,146.38955688476562
2020-09-21,143.55044555664062
2020-09-22,142.29708862304688
2020-09-23,142.2495880126953
2020-09-24,141.300048828125
2020-09-25,142.6768798828125
2020-09-28,140.62588500976562
2020-09-29,138.87872314453125
2020-09-30,140.5499267578125
2020-10-01,137.0081787109375
2020-10-02,137.88174438476562
2020-10-05,139.23008728027344
2020-10-06,136.8562469482422
2020-10-07,141.44248962402344
2020-10-08,145.75338745117188
2020-10-09,148.96278381347656
2020-10-12,146.69342041015625
2020-10-13,142.5059356689453
2020-10-14,140.9676971435547
2020-10-15,139.37254333496094
2020-10-16,138.74578857421875
2020-10-19,135.59336853027344
2020-10-20,136.34349060058594
2020-10-21,134.17855834960938
2020-10-22,134.50137329101562
2020-10-23,135.19454956054688
2020-10-26,134.54888916015625
2020-10-27,125.24345397949219
2020-10-28,124.68321228027344
2020-10-29,125.86065673828125
2020-10-30,123.87613677978516
2020-11-02,124.9870834350586
2020-11-03,124.369873046875
2020-11-04,141.09115600585938
2020-11-05,138.1761016845703
2020-11-06,135.53639221191406
2020-11-09,135.14712524414062
2020-11-10,139.16355895996094
2020-11-11,137.45443725585938
2020-11-12,134.6007537841797
2020-11-13,135.8892059326172
2020-11-16,134.18080139160156
2020-11-17,134.76303100585938
2020-11-18,133.77996826171875
2020-11-19,136.8722381591797
2020-11-20,138.85745239257812
2020-11-23,136.84361267089844
2020-11-24,138.2943115234375
2020-11-25,138.1511688232422
2020-11-27,140.71853637695312
2020-11-30,139.01011657714844
2020-12-01,138.92422485351562
2020-12-02,138.54248046875
2020-12-03,137.54034423828125
2020-12-04,141.68247985839844
2020-12-07,140.69944763183594
2020-12-08,142.4937286376953
2020-12-09,150.79713439941406
2020-12-10,153.6603546142578
2020-12-11,152.744140625
2020-12-14,150.7112274169922
2020-12-15,159.79727172851562
2020-12-16,164.2066192626953
2020-12-17,164.76019287109375
2020-12-18,163.5862579345703
2020-12-21,161.085693359375
2020-12-22,159.11964416503906
2020-12-23,157.9361114501953
2020-12-24,159.0623321533203
2020-12-28,158.90963745117188
2020-12-29,158.9860076904297
2020-12-30,159.39639282226562
2020-12-31,161.1429443359375
2021-01-04,157.95523071289062
2021-01-05,158.73785400390625
2021-01-06,156.82899475097656
2021-01-07,158.27020263671875
2021-01-08,158.82374572753906
2021-01-11,177.46343994140625
2021-01-12,170.6488800048828
2021-01-13,177.04347229003906
2021-01-14,178.17919921875
