Date,Price
,HUM
2020-04-22,352.7795715332031
2020-04-23,351.7227783203125
2020-04-24,354.6243591308594
2020-04-27,358.88067626953125
2020-04-28,348.6481018066406
2020-04-29,362.5893859863281
2020-04-30,366.8553771972656
2020-05-01,357.65081787109375
2020-05-04,363.0314025878906
2020-05-05,369.007568359375
2020-05-06,360.29302978515625
2020-05-07,356.86297607421875
2020-05-08,362.7047424316406
2020-05-11,365.14520263671875
2020-05-12,368.67132568359375
2020-05-13,362.62786865234375
2020-05-14,370.68902587890625
2020-05-15,382.6126403808594
2020-05-18,376.991943359375
2020-05-19,379.00958251953125
2020-05-20,375.8581848144531
2020-05-21,379.77825927734375
2020-05-22,378.9711608886719
2020-05-26,381.5268859863281
2020-05-27,383.6886901855469
2020-05-28,387.9835205078125
2020-05-29,394.5554504394531
2020-06-01,385.7640075683594
2020-06-02,389.0307922363281
2020-06-03,378.298583984375
2020-06-04,376.89581298828125
2020-06-05,374.5802307128906
2020-06-08,382.4973449707031
2020-06-09,374.8876953125
2020-06-10,377.12646484375
2020-06-11,358.89996337890625
2020-06-12,363.876953125
2020-06-15,364.0018005371094
2020-06-16,363.1851501464844
2020-06-17,365.1067810058594
2020-06-18,364.213134765625
2020-06-19,365.83697509765625
2020-06-22,364.9241943359375
2020-06-23,366.8169860839844
2020-06-24,357.2280578613281
2020-06-25,361.388427734375
2020-06-26,359.9569091796875
2020-06-29,365.1009216308594
2020-06-30,373.1755676269531
2020-07-01,376.83270263671875
2020-07-02,377.1600341796875
2020-07-06,381.55816650390625
2020-07-07,376.97705078125
2020-07-08,371.4913330078125
2020-07-09,368.5271301269531
2020-07-10,367.2375183105469
2020-07-13,367.5165710449219
2020-07-14,381.6351013183594
2020-07-15,380.5091247558594
2020-07-16,381.0096130371094
2020-07-17,389.2863464355469
2020-07-20,381.84698486328125
2020-07-21,382.64569091796875
2020-07-22,387.2460632324219
2020-07-23,382.7997131347656
2020-07-24,377.4005432128906
2020-07-27,376.3226013183594
2020-07-28,372.11688232421875
2020-07-29,381.50042724609375
2020-07-30,383.55999755859375
2020-07-31,377.69891357421875
2020-08-03,379.7198791503906
2020-08-04,376.4766540527344
2020-08-05,388.7281494140625
2020-08-06,392.3083190917969
2020-08-07,402.2308044433594
2020-08-10,403.9823303222656
2020-08-11,400.142333984375
2020-08-12,404.2710876464844
2020-08-13,403.7321472167969
2020-08-14,406.15740966796875
2020-08-17,404.2230224609375
2020-08-18,401.4897766113281
2020-08-19,402.2884826660156
2020-08-20,398.400390625
2020-08-21,403.048828125
2020-08-24,390.8165283203125
2020-08-25,390.5856628417969
2020-08-26,388.55487060546875
2020-08-27,392.13507080078125
2020-08-28,392.7029724121094
2020-08-31,399.5649108886719
2020-09-01,399.2569885253906
2020-09-02,411.6912841796875
2020-09-03,405.4452209472656
2020-09-04,397.65936279296875
2020-09-08,390.13323974609375
2020-09-09,392.876220703125
2020-09-10,378.58428955078125
2020-09-11,376.6498718261719
2020-09-14,388.4586486816406
2020-09-15,384.9554138183594
2020-09-16,384.0700378417969
2020-09-17,382.5591125488281
2020-09-18,387.49627685546875
2020-09-21,379.6813659667969
2020-09-22,372.2227783203125
2020-09-23,370.93316650390625
2020-09-24,372.45361328125
2020-09-25,385.78314208984375
2020-09-28,384.9651794433594
2020-09-29,387.01336669921875
2020-09-30,398.95635986328125
2020-10-01,400.3733215332031
2020-10-02,393.5776672363281
2020-10-05,404.4796142578125
2020-10-06,401.1829833984375
2020-10-07,413.91644287109375
2020-10-08,411.90179443359375
2020-10-09,417.80096435546875
2020-10-12,414.9862976074219
2020-10-13,417.1936950683594
2020-10-14,407.7376403808594
2020-10-15,419.6517028808594
2020-10-16,421.9266052246094
2020-10-19,417.4540100097656
2020-10-20,420.66375732421875
2020-10-21,421.45428466796875
2020-10-22,425.24237060546875
2020-10-23,428.27874755859375
2020-10-26,419.4300231933594
2020-10-27,416.54791259765625
2020-10-28,398.33941650390625
2020-10-29,382.434814453125
2020-10-30,384.8735046386719
2020-11-02,393.837890625
2020-11-03,408.15216064453125
2020-11-04,435.7008972167969
2020-11-05,424.88580322265625
2020-11-06,416.9431457519531
2020-11-09,407.7280578613281
2020-11-10,415.1310119628906
