Date,Price
,COP
2020-04-22,29.030405044555664
2020-04-23,30.02630043029785
2020-04-24,29.951608657836914
2020-04-27,30.831317901611328
2020-04-28,31.935102462768555
2020-04-29,35.03067398071289
2020-04-30,34.939388275146484
2020-05-01,32.482845306396484
2020-05-04,33.49534225463867
2020-05-05,33.9600944519043
2020-05-06,33.603233337402344
2020-05-07,35.20496368408203
2020-05-08,36.1102409362793
2020-05-11,35.43128967285156
2020-05-12,34.852909088134766
2020-05-13,33.436336517333984
2020-05-14,33.4698600769043
2020-05-15,34.25777816772461
2020-05-18,36.546104431152344
2020-05-19,35.766563415527344
2020-05-20,37.00712203979492
2020-05-21,36.646690368652344
2020-05-22,36.27787399291992
2020-05-26,36.60477828979492
2020-05-27,37.442989349365234
2020-05-28,36.05156326293945
2020-05-29,35.35584259033203
2020-06-01,36.37008285522461
2020-06-02,37.04903793334961
2020-06-03,37.820194244384766
2020-06-04,37.476524353027344
2020-06-05,40.728790283203125
2020-06-08,42.170528411865234
2020-06-09,40.762325286865234
2020-06-10,38.48237609863281
2020-06-11,35.305538177490234
2020-06-12,36.65507507324219
2020-06-15,36.336551666259766
2020-06-16,37.81180953979492
2020-06-17,36.898162841796875
2020-06-18,37.25857925415039
2020-06-19,36.62992858886719
2020-06-22,36.512577056884766
2020-06-23,36.722137451171875
2020-06-24,34.35837173461914
2020-06-25,35.255252838134766
2020-06-26,33.8219108581543
2020-06-29,34.61821746826172
2020-06-30,35.22173309326172
2020-07-01,34.14881896972656
2020-07-02,35.02056121826172
2020-07-06,34.894832611083984
2020-07-07,34.06499481201172
2020-07-08,34.40028381347656
2020-07-09,32.145477294921875
2020-07-10,33.2686767578125
2020-07-13,33.243534088134766
2020-07-14,34.62659454345703
2020-07-15,34.886436462402344
2020-07-16,34.861289978027344
2020-07-17,33.83670425415039
2020-07-20,33.30324935913086
2020-07-21,35.276214599609375
2020-07-22,34.624202728271484
2020-07-23,34.260093688964844
2020-07-24,34.10768127441406
2020-07-27,33.67582321166992
2020-07-28,32.98994827270508
2020-07-29,33.81978225708008
2020-07-30,31.87220573425293
2020-07-31,31.660524368286133
2020-08-03,31.08472442626953
2020-08-04,31.87220573425293
2020-08-05,32.19398880004883
2020-08-06,32.21939468383789
2020-08-07,32.43107986450195
2020-08-10,33.565738677978516
2020-08-11,33.62501907348633
2020-08-12,35.276214599609375
2020-08-13,34.404052734375
2020-08-14,34.56492614746094
2020-08-17,34.46331024169922
2020-08-18,34.1500129699707
2020-08-19,33.574222564697266
2020-08-20,32.82905960083008
2020-08-21,32.31252670288086
2020-08-24,32.913734436035156
2020-08-25,32.89680480957031
2020-08-26,31.80447769165039
2020-08-27,32.3040657043457
2020-08-28,32.49882888793945
2020-08-31,32.08391189575195
2020-09-01,31.46577262878418
2020-09-02,30.805294036865234
2020-09-03,30.475059509277344
2020-09-04,30.364978790283203
2020-09-08,28.840808868408203
2020-09-09,29.179506301879883
2020-09-10,27.87548065185547
2020-09-11,28.03636932373047
2020-09-14,28.3835506439209
2020-09-15,28.620641708374023
2020-09-16,29.704498291015625
2020-09-17,30.559738159179688
2020-09-18,30.373441696166992
2020-09-21,29.094825744628906
2020-09-22,29.044021606445312
2020-09-23,27.87548065185547
2020-09-24,28.451284408569336
2020-09-25,28.535968780517578
2020-09-28,28.544437408447266
2020-09-29,27.485980987548828
2020-09-30,27.8077449798584
2020-10-01,27.460575103759766
2020-10-02,28.002506256103516
2020-10-05,29.02708625793457
2020-10-06,28.19725799560547
2020-10-07,29.069425582885742
2020-10-08,30.085540771484375
2020-10-09,29.746835708618164
2020-10-12,30.136350631713867
2020-10-13,29.53513526916504
2020-10-14,29.238773345947266
2020-10-15,29.975467681884766
2020-10-16,28.94685173034668
2020-10-19,28.02967643737793
2020-10-20,27.926815032958984
2020-10-21,26.26388931274414
2020-10-22,27.352506637573242
2020-10-23,27.892526626586914
2020-10-26,25.98958969116211
2020-10-27,25.938167572021484
2020-10-28,24.678119659423828
2020-10-29,24.995271682739258
2020-10-30,24.532394409179688
2020-11-02,25.91244888305664
2020-11-03,25.12384605407715
2020-11-04,26.041027069091797
2020-11-05,25.818161010742188
2020-11-06,25.02098846435547
2020-11-09,28.612560272216797
2020-11-10,30.455480575561523
2020-11-11,30.241188049316406
2020-11-12,29.152570724487305
2020-11-13,30.30976676940918
2020-11-16,32.64128875732422
2020-11-17,33.30131149291992
2020-11-18,33.58418273925781
2020-11-19,33.83275604248047
2020-11-20,33.987060546875
2020-11-23,36.61001205444336
2020-11-24,38.06721115112305
2020-11-25,37.39862823486328
2020-11-27,36.670021057128906
2020-11-30,33.909912109375
2020-12-01,33.661319732666016
2020-12-02,34.2613410949707
2020-12-03,35.315670013427734
2020-12-04,37.94720458984375
2020-12-07,36.70430374145508
2020-12-08,36.584285736083984
2020-12-09,36.601436614990234
2020-12-10,37.71576690673828
2020-12-11,37.270042419433594
2020-12-14,36.27571105957031
2020-12-15,36.687164306640625
2020-12-16,36.27571105957031
2020-12-17,35.9756965637207
2020-12-18,35.127098083496094
2020-12-21,34.492794036865234
2020-12-22,33.455604553222656
2020-12-23,34.35564041137695
2020-12-24,33.84990692138672
2020-12-28,33.68703842163086
2020-12-29,33.48989486694336
2020-12-30,34.29563522338867
2020-12-31,34.27849578857422
2021-01-04,33.91847610473633
2021-01-05,35.86426544189453
2021-01-06,37.295745849609375
2021-01-07,38.315792083740234
2021-01-08,38.315792083740234
2021-01-11,38.881526947021484
2021-01-12,40.64731216430664
2021-01-13,40.313018798828125
2021-01-14,41.033042907714844
